Feature,Importance
FS1_features_q75,0.1554679
FS1_features_mean,0.13487399
FS1_features_median,0.13173674
FS1_features_std,0.08609418
PS2_features_q25,0.06478226
PS2_features_q75,0.064105555
PS2_features_std,0.057583623
PS2_features_mean,0.05278295
PS2_features_median,0.044963375
PS2_features_rms,0.04479836
FS1_features_rms,0.038825188
FS1_features_q25,0.037481472
FS1_features_range,0.03157024
FS1_features_max,0.029697163
PS2_features_max,0.014329014
PS2_features_range,0.010907881
FS1_features_min,0.0
PS2_features_min,0.0
